# 2D electrostatic potential on XZ plane
# Columns: X (nm)  Z (nm)  Potential (V)
# Grid: 171 x 171
  0.034343  0.030404  -4.224782e-01
  0.034343  0.091212  -5.634474e-01
  0.034343  0.152021  -4.780500e-01
  0.034343  0.212829  -6.069156e-01
  0.034343  0.273637  -2.137285e-01
  0.034343  0.334446  -2.036192e-01
  0.034343  0.395254  -4.880302e-01
  0.034343  0.456062  -5.549111e-01
  0.034343  0.516871  -5.610689e-01
  0.034343  0.577679  -7.555108e-01
  0.034343  0.638487  -5.475636e-01
  0.034343  0.699296  -1.040190e-01
  0.034343  0.760104  -5.451109e-01
  0.034343  0.820912  -5.103552e-01
  0.034343  0.881721  -9.784512e-02
  0.034343  0.942529  -4.608916e-02
  0.034343  1.003337  -3.789965e-02
  0.034343  1.064146  -1.538589e-01
  0.034343  1.124954  3.234374e-02
  0.034343  1.185762  -3.502787e-01
  0.034343  1.246571  -8.614309e-01
  0.034343  1.307379  -6.998704e-01
  0.034343  1.368187  -5.455506e-01
  0.034343  1.428996  -7.519486e-01
  0.034343  1.489804  -5.104995e-01
  0.034343  1.550612  -5.533122e-01
  0.034343  1.611421  -4.886040e-01
  0.034343  1.672229  -6.908656e-01
  0.034343  1.733037  -5.388027e-01
  0.034343  1.793845  -2.383743e-01
  0.034343  1.854654  -6.293770e-02
  0.034343  1.915462  2.763912e-02
  0.034343  1.976270  -1.954678e-02
  0.034343  2.037079  -1.988370e-01
  0.034343  2.097887  -2.921167e-01
  0.034343  2.158695  -4.960622e-02
  0.034343  2.219504  8.772648e-02
  0.034343  2.280312  -3.304020e-01
  0.034343  2.341120  -5.643211e-02
  0.034343  2.401929  2.011649e-01
  0.034343  2.462737  4.786796e-01
  0.034343  2.523545  4.791557e-01
  0.034343  2.584354  2.613969e-01
  0.034343  2.645162  6.251990e-02
  0.034343  2.705970  2.852844e-02
  0.034343  2.766779  8.810404e-02
  0.034343  2.827587  2.792826e-01
  0.034343  2.888395  -1.188940e-01
  0.034343  2.949204  -6.979755e-02
  0.034343  3.010012  -1.915631e-01
  0.034343  3.070820  3.360112e-02
  0.034343  3.131629  2.042968e-01
  0.034343  3.192437  2.756731e-01
  0.034343  3.253245  1.465289e-01
  0.034343  3.314053  1.212921e-01
  0.034343  3.374862  2.066144e-01
  0.034343  3.435670  5.390683e-01
  0.034343  3.496478  6.757107e-01
  0.034343  3.557287  3.208427e-01
  0.034343  3.618095  4.360872e-01
  0.034343  3.678903  4.989188e-01
  0.034343  3.739712  2.615558e-01
  0.034343  3.800520  2.989286e-01
  0.034343  3.861328  2.206588e-01
  0.034343  3.922137  1.289985e-01
  0.034343  3.982945  2.354818e-01
  0.034343  4.043753  2.377835e-01
  0.034343  4.104562  2.477384e-01
  0.034343  4.165370  2.139144e-01
  0.034343  4.226178  2.604514e-01
